id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0bzpSeurW8ntxJ9KOKjJTp,De De Pal Tule De,Sayera Reza,Not Popular,2022,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
1CgbXjbZ5kvqUm1nhKCVm2,Amar Shokol Niye Bose Achi,Srabani Sen,Kind of Popular,2018,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
2vcT9LlkJvjJLO6rpkqIoD,Tumi Bondhu Kala Pakhi Ami Jen Ki,Azim khan opu,Not Popular,2022,High-dance,High Energy,Non-enharmonic,Normal,Mixed,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
4DYvaPXxAznqlrbirEkIjd,Ami Sunechi Sedin,Lakshmikant,Not Popular,2021,Mid-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
4rhsuka32UPUJNlFsLbBGL,Indubala Go,Uttam Kumar Mondal,Kind of Popular,2021,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
0PFOZS1sZHwax9kd27Li6r,Soachan Pakhi,Bari Siddiquee,Kind of Popular,2015,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
3BsiZbMXtFKMAF6RNZUSN7,Pubali Batashe,Bari Siddiquee,Kind of Popular,2015,No-dance,High Energy,Non-enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Long,Simple
60CnuShluk1PgyehAvyqB2,Manush Dhoro Manush Bhajo,Bari Siddiquee,Not Popular,2015,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
32CyHp0qowC565mDnlToZA,Ekdin Amaro Chilo Ghor,Bari Siddiqui,Not Popular,2020,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
3CWu6IzZQZXHx5KYJjU7h8,Bhalobashi Bole - Duet Version,Elma Siddiqui,Kind of Popular,2018,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Long,Simple
304B1TZ4I0kYXBaYBzzCvU,Manush Chara Ke Pare - Duet Version,Elma Siddiqui,Not Popular,2018,No-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Long,Simple
0Th1HFUrATNZj85AedbnbU,Bhalobashi Bole,Elma Siddiqui,Not Popular,2018,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
6sCVRxM5V2uBzcCAqCeT0J,Manush Chara Ke Pare,Elma Siddiqui,Not Popular,2018,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Long,Simple
1bvYZcCSYaMq1xp5sWE878,Choritrohin,Bari Siddiqui,Not Popular,2015,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
43wNRyjyxLVDOFVtNC9IiP,Boroloker Bitilo,Fakira,Popular,2021,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
0CefrL3btj9UeJJwyhxZHn,Porer Jayga Porer Jomin,Arpan Chakraborty,Not Popular,2022,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
3G7Z1PDqOZEGZTqqJSOm4V,"Tomaay Ami Mando Bashi - From ""Mando Basar Galpo""",Rupankar,Not Popular,2019,No-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
3ANHOwzLUBxpwbX6xP12nm,যেপাখি ঘর বোঝেনা,Oliketo Grammo Gan,Not Popular,2022,Mid-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
40F5d70GDsCGoo2qj5V93u,"Tapa Tini (From ""Belashuru"")",Iman Chakraborty,Kind of Popular,2022,Mid-dance,High Energy,Enharmonic,Loud,Mixed,Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
5lLvCQT9WqKYFSfX7qYO2m,Loke Bole Bole Re,Dohar,Kind of Popular,2013,High-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
37oeBtbSiowOQ0SxQn5WfJ,"Loke Bole , Bolere Ghar Bari Bhala Naye Amar",Selim Chowdhury,Kind of Popular,2018,Mid-dance,High Energy,Enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
2ti878SOr04cRCf6b88faF,Nisha Lagilo Re,Fuad,Not Popular,2017,High-dance,High Energy,Enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
4DsIGGXYLuIrV6Es17SLiG,Bhalo Achi Bhalo Theko,Durnibar Saha,Popular,2016,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
4DsIGGXYLuIrV6Es17SLiG,Bhalo Achi Bhalo Theko,Durnibar Saha,Popular,2016,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
0EsQlG1k5x91aUAsklqfV9,Monto Dilana,Baul Sukumar,Not Popular,2021,High-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
7xzNPXOSPDgoM6BHjsdkvu,Ami Tomar Jonno Kadi,Baul Sukumar,Kind of Popular,2021,High-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
